               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11112,             0.02692,                   0,           0.0032638,            0.013605,          0.00056803,          0.00010441,             0.10086,            0.019509,                   0,             0.00032,             0.00032,             0.09712
                   1,            0.098029,            0.022771,                   0,           0.0019897,            0.068027,          0.00089438,          0.00022034,            0.089518,            0.017505,                   0,          0.00064942,          0.00064942,            0.094149
                   2,             0.08711,            0.021854,                   0,            0.008042,            0.040816,           0.0037474,          0.00068634,            0.080306,            0.016936,                   0,          0.00097652,          0.00097652,            0.091177
                   3,            0.076812,            0.022195,                   0,             0.05193,             0.19728,            0.030362,           0.0064576,            0.068411,            0.017076,                   0,           0.0012996,           0.0012996,              0.0882
                   4,            0.066423,            0.022544,                   0,             0.15895,             0.34694,             0.13271,            0.036531,             0.06124,            0.016368,                   0,           0.0016168,           0.0016168,            0.085217
                   5,            0.060407,            0.022366,                   0,             0.18793,             0.48017,             0.18239,            0.042204,            0.060409,            0.014784,                   0,           0.0019266,           0.0019266,            0.082227
                   6,            0.057675,            0.020448,                   0,              0.3693,             0.59864,              0.3967,              0.1072,            0.055167,            0.013723,                   0,           0.0022273,           0.0022273,            0.079227
                   7,            0.055617,            0.018741,                   0,             0.56374,              0.5102,              0.4813,              0.1512,            0.058411,            0.012074,                   0,           0.0025174,           0.0025174,            0.076217
                   8,            0.054214,            0.017448,                   0,             0.48591,             0.60544,             0.52971,             0.18121,            0.048943,            0.011302,                   0,           0.0027952,           0.0027952,            0.073195
                   9,            0.054047,            0.016048,                   0,             0.39977,             0.42857,             0.33674,            0.093323,            0.057958,            0.011151,                   0,           0.0030595,           0.0030595,             0.07016
                  10,            0.050822,            0.015753,                   0,             0.69006,             0.58503,             0.64769,             0.26197,            0.047814,             0.01084,                   0,           0.0033089,           0.0033089,            0.067109
                  11,            0.050036,            0.013402,                   0,             0.63696,              0.7415,             0.69285,             0.24665,            0.046203,           0.0095067,                   0,           0.0035421,           0.0035421,            0.064042
                  12,            0.050067,             0.01319,                   0,             0.56587,             0.49655,              0.4747,             0.13607,            0.053666,            0.010255,                   0,            0.003758,            0.003758,            0.060958
                  13,            0.048573,            0.012245,                   0,             0.53525,             0.44218,             0.42954,             0.13733,            0.056343,            0.010215,                   0,           0.0039556,           0.0039556,            0.057856
                  14,            0.047513,            0.012147,                   0,             0.66992,              0.7619,             0.69286,             0.25216,            0.045829,           0.0085396,                   0,            0.004134,            0.004134,            0.054734
                  15,            0.050895,            0.012008,                   0,             0.76253,             0.72083,             0.77342,             0.30469,            0.045794,            0.008622,                   0,           0.0042924,           0.0042924,            0.051592
                  16,             0.04935,             0.01152,                   0,             0.68375,             0.80892,             0.75973,             0.31889,            0.043105,           0.0082867,                   0,           0.0044303,           0.0044303,             0.04843
                  17,            0.047669,            0.011208,                   0,             0.49445,              0.5102,             0.43134,             0.13163,            0.059649,            0.010761,                   0,           0.0045471,           0.0045471,            0.045247
                  18,            0.047765,            0.011323,                   0,             0.68869,              0.7415,             0.75597,             0.33601,             0.04434,           0.0082264,                   0,           0.0046424,           0.0046424,            0.042042
                  19,            0.047295,             0.01088,                   0,             0.84172,             0.79589,             0.83434,             0.32974,            0.042601,           0.0074212,                   0,           0.0047162,           0.0047162,            0.038816
                  20,            0.043947,             0.01054,                   0,             0.75085,             0.79953,             0.84136,             0.36777,            0.042318,           0.0079985,                   0,           0.0047683,           0.0047683,            0.035568
                  21,            0.044192,            0.010328,                   0,             0.74976,             0.48917,              0.5704,             0.20547,            0.054379,           0.0093859,                   0,           0.0047989,           0.0047989,            0.032299
                  22,            0.043063,            0.010151,                   0,             0.69896,              0.5844,             0.62958,             0.24177,            0.047298,           0.0089654,                   0,           0.0048082,           0.0048082,            0.029008
                  23,            0.043812,           0.0098025,                   0,             0.84204,             0.87075,             0.88047,             0.39842,            0.039073,           0.0070183,                   0,           0.0047966,           0.0047966,            0.025697
                  24,             0.04041,            0.009684,                   0,             0.82047,             0.80952,             0.85972,             0.38077,             0.04071,           0.0073365,                   0,           0.0047648,           0.0047648,            0.022365
